run,beta,rho,E0,R0_effective,sse
0,0.19240316974616042,0.06027496405596749,3000.0,1.346822188223123,119.41844032052626
1,0.19216329467048285,0.06092636516150999,3000.0,1.34514306269338,119.41943741613233
2,0.18984051896150622,0.3341858289006177,586.1086529830405,1.3288836327305436,122.76893355173127
3,0.19012597178680704,0.22046729303744708,881.3540488189178,1.3308818025076494,122.49036383124542
4,0.4865708889815697,0.0012392664244022797,3000.0,3.405996222870988,150.3147037188137
5,0.190691500098255,0.12013221992904137,1594.1376464486875,1.334840500687785,121.61832562927853
6,0.19229136948534298,0.06067772823446088,3000.0,1.3460395863974008,119.41600869232808
7,0.1900187671289267,0.29039642924195275,669.2385471001854,1.330131369902487,122.69322083578089
8,0.48781554770586993,0.0012342804418755257,3000.0,3.4147088339410896,150.31340616624647
9,0.19003236969027967,0.24838298423953567,782.2792055531587,1.3302265878319577,122.58856912264964
10,0.19233470698440744,0.06077350436622656,3000.0,1.346342948890852,119.41685980797712
11,0.19235844725700635,0.06032519030484381,3000.0,1.3465091307990444,119.41937918672568
12,0.1923474837768253,0.06051272578266989,3000.0,1.3464323864377772,119.41612923018646
13,0.18960918078189096,0.581445488458492,335.4465177481034,1.3272642654732367,123.02454471534777
14,0.4880534855292928,0.001232538218098245,3000.0,3.4163743987050497,150.3138061048317
15,0.1900934429480112,0.24440244579324436,794.181945414159,1.3306541006360784,122.57664288140268
16,0.19003536152023504,0.36244134584241827,533.1202296626366,1.3302475306416452,122.81579683571813
17,0.48820566793478887,0.0012312896045905566,3000.0,3.4174396755435223,150.3142934713796
18,0.19214609124168355,0.0702788411743817,2601.90632681961,1.345022638691785,120.08841886239327
19,0.1917908380776322,0.07825195374439198,2397.276357199666,1.3425358665434255,120.46593346355026
