run,beta1,beta2,change_day,E0,R0_phase1,R0_phase2,sse
0,0.3449193528655252,0.15536505876885162,50.223448578202216,612.960295729183,2.4144354700586765,1.0875554113819614,11.475860879005953
1,0.34491657022632943,0.15568946009697027,49.69509920731347,609.1771528258319,2.414415991584306,1.0898262206787919,11.479101569015306
2,0.3357948054772448,0.15420786689408272,51.962101151525644,644.0463449102103,2.3505636383407134,1.079455068258579,11.562093407552043
3,0.33821447868135524,0.15477971690001233,51.321140487081294,648.3637866813059,2.3675013507694866,1.0834580183000864,11.52679403608927
4,0.3439988101048886,0.15545076473724104,49.510072730685806,618.3667036526193,2.40799167073422,1.0881553531606873,11.476412117281452
5,0.34896875857161014,0.15612037512319157,48.9705609773167,595.8841632682734,2.442781310001271,1.0928426258623412,11.49829803983232
6,0.344612870516521,0.15543661065509187,49.829354120190544,614.4927042065164,2.4122900936156473,1.0880562745856432,11.47471251095152
7,0.254570802956954,0.02506328268455815,101.98681201293535,1256.73388329494,1.781995620698678,0.17544297879190704,36.52323866970339
8,0.34327960331109053,0.15569793501289084,50.22236367695481,622.931740786475,2.402957223177634,1.0898855450902358,11.480885210288182
9,0.3447752923416869,0.15557910531438035,50.27324840160719,607.0151243255601,2.4134270463918086,1.0890537372006626,11.478293965958649
