run,beta,E0,R0_effective,sse
0,0.19181448763883954,3781.6597360277988,1.3427014134718769,118.27028949535344
1,0.19193776632367668,3757.91476232457,1.3435643642657369,118.2661023092917
2,0.19202960160090674,3768.9235632541095,1.3442072112063472,118.26121690488371
3,0.19189599956993955,3771.1347897576015,1.343271996989577,118.26529690665157
4,0.19210973174848048,3753.7617775096965,1.3447681222393635,118.2605191506236
5,0.1921845676175354,3729.9928523285053,1.345291973322748,118.26283502275847
6,0.19191832539994866,3776.802734610264,1.3434282777996407,118.26322014978479
7,0.19208111582743315,3752.0249534467853,1.344567810792032,118.26011933110044
8,0.19218666804715775,3735.6483403287625,1.3453066763301043,118.26191389362756
9,0.1922804698371767,3741.7977516477,1.3459632888602369,118.26967943366185
10,0.19208217464975816,3750.460356630317,1.3445752225483072,118.26021001269355
11,0.19209117012156907,3765.153987978225,1.3446381908509835,118.26249909125463
12,0.19214190638623205,3749.656141988146,1.3449933447036244,118.26103345185737
13,0.19203508883522133,3774.0289542806927,1.3442456218465493,118.26295345538055
14,0.19215065799163755,3744.274090731176,1.345054605941463,118.26088926331897
15,0.1920373308981321,3761.0614454080655,1.3442613162869248,118.26026355837253
16,0.19198509413261075,3765.6016820126024,1.3438956589282753,118.26112652028154
17,0.19212967514871168,3746.054485879006,1.3449077260409819,118.26051309023751
18,0.1920566884822327,3762.016967699095,1.344396819375629,118.26045771264461
19,0.19211984941585292,3751.3061730263144,1.3448389459109704,118.2605244709891
